subject,layer,context_length,separate_model,cross_modality,unified_model,var_explained_prod,var_explained_comp,var_explained_intersection,weightcorr_linguistic_voxels,weightcorr_cross_voxels,weightcorr_prod_voxels,weightcorr_comp_voxels,weightcorr_bimodal_voxels,weightcorr_uni_vs_prod,weightcorr_uni_vs_comp
1E+00,0E+00,1E+00,2.1107075090834E-02,-2.99563759437881E-03,2.00127867376943E-02,2.35084833614968E-02,1.3486678032565E-02,1.20671260016379E-02,6.01677061603417E-02,2.46370693084265E-01,6.94584465902837E-02,5.03426972296884E-02,5.02181331365283E-02,6.62500486038436E-01,6.55916219795696E-01
1E+00,3E+00,1E+00,2.23266588416668E-02,-1.73423210217515E-03,2.54947370427361E-02,2.46836843318785E-02,1.41851493815177E-02,1.35069357962891E-02,6.70696745069363E-02,2.79738999298363E-01,9.17227162809161E-02,4.68447391870561E-02,4.32836638089019E-02,6.4427727442316E-01,6.13231891751885E-01
1E+00,6E+00,1E+00,2.1810568155017E-02,-2.52311053309727E-03,2.55325348688674E-02,2.59708131684662E-02,1.50763428090445E-02,1.35376061310061E-02,6.27168296857823E-02,2.71393318607021E-01,8.90379220417295E-02,4.41472453960969E-02,3.41908786649128E-02,6.41712339419746E-01,6.19255461872608E-01
1E+00,9E+00,1E+00,2.30948131304161E-02,-1.58090159478844E-03,2.79172872590507E-02,2.70092516612814E-02,1.56454818712193E-02,1.438794917307E-02,6.69331435574686E-02,2.59889465395399E-01,9.17653428993147E-02,5.19967629195002E-02,3.85194823495861E-02,6.32901276148428E-01,6.27948472382633E-01
1E+00,1.2E+01,1E+00,2.47939716118942E-02,-1.77287840741656E-03,2.91389427879244E-02,2.73846006874514E-02,1.58189406874603E-02,1.44589956307981E-02,6.59250362800428E-02,2.60352180915411E-01,9.10780039090666E-02,5.05787334941439E-02,3.86735250738196E-02,6.32998550688542E-01,6.27296547351272E-01
1E+00,1.5E+01,1E+00,2.59669783986804E-02,-3.676266965585E-04,3.07414818330804E-02,2.89547171425265E-02,1.79377438864874E-02,1.45426796479952E-02,7.35272847288214E-02,2.59265510971789E-01,9.83970041438203E-02,6.11233873104064E-02,4.31445060333309E-02,6.24107609226283E-01,6.46592124821519E-01
1E+00,1.8E+01,1E+00,2.77627562253926E-02,-1.15251677112275E-04,3.22393780173945E-02,2.95331317943331E-02,1.7679965258534E-02,1.48170387731508E-02,7.96613108837377E-02,2.59530533116469E-01,1.02651581436297E-01,6.82375216776444E-02,5.03025025644313E-02,6.34787827135488E-01,6.52316149434217E-01
1E+00,2.1E+01,1E+00,3.00679402270287E-02,-4.33295698632641E-04,3.35487087262277E-02,2.96915062949557E-02,1.69425732154503E-02,1.5138540771855E-02,7.46531940214596E-02,2.54885220343006E-01,9.42811665690066E-02,6.62411161191613E-02,4.8235377488527E-02,6.33449931626905E-01,6.51907090693402E-01
1E+00,2.4E+01,1E+00,3.21563252121271E-02,-1.25804231058873E-04,3.41639714538091E-02,2.99983316547204E-02,1.69522838778981E-02,1.48344257991916E-02,8.2688414123845E-02,2.58472327290986E-01,9.90936562422988E-02,7.50843527738462E-02,5.79140488193849E-02,6.42311880419266E-01,6.58636979662224E-01
1E+00,2.7E+01,1E+00,3.22554443502403E-02,1.96143104082388E-04,3.46316768971987E-02,3.0408860688315E-02,1.70731942043563E-02,1.51494592807755E-02,8.93903486479416E-02,2.61866767631517E-01,1.08492521024295E-01,7.99876469296752E-02,6.18881650618173E-02,6.41831694937664E-01,6.604000331887E-01
1E+00,3E+01,1E+00,3.13651544473782E-02,-7.5205946386916E-04,3.34926278219503E-02,3.00587822478679E-02,1.66816977012048E-02,1.53658219862604E-02,8.45385317694778E-02,2.62618723578544E-01,1.02325869016316E-01,7.74324000614905E-02,5.71159960755508E-02,6.41878334834893E-01,6.62356504300728E-01
1E+00,3.3E+01,1E+00,3.02398543683187E-02,-1.60340060637368E-03,3.20193455757295E-02,2.9838892427519E-02,1.71460334402375E-02,1.51285490761834E-02,8.41973102075536E-02,2.66713030574467E-01,1.07263044132777E-01,7.14795518472349E-02,5.38678148458083E-02,6.37549981855395E-01,6.65785335376522E-01
1E+00,3.6E+01,1E+00,2.92380195154689E-02,-2.03146236872709E-03,2.97415797962523E-02,2.99690622429721E-02,1.63907747037332E-02,1.48790347310899E-02,9.73592269015156E-02,2.76347109165412E-01,1.16236401885746E-01,9.05134532324468E-02,6.85268285616988E-02,6.41473480267679E-01,6.65040129347719E-01
1E+00,0E+00,2E+00,2.26679296661408E-02,-1.52289317858048E-03,2.54791795259998E-02,2.34605186975284E-02,1.37301883682549E-02,1.31785324688376E-02,7.00545546599735E-02,2.40566871656862E-01,7.95836563890546E-02,5.93492003931447E-02,6.51529578118624E-02,6.64957685918438E-01,6.28293752214392E-01
1E+00,3E+00,2E+00,2.72681686481211E-02,2.45532183005563E-03,3.26981645804906E-02,2.61810001578851E-02,1.6859680713127E-02,1.5093790375599E-02,9.52046092726378E-02,2.62546290211756E-01,1.126423704352E-01,8.22385418773787E-02,7.6622697680588E-02,6.3728914859354E-01,6.09854934054958E-01
1E+00,6E+00,2E+00,3.01584722503798E-02,1.84688269195052E-03,3.56232440438683E-02,2.7749453821058E-02,1.75111386054644E-02,1.50448360820612E-02,9.01414483100419E-02,2.55215230810179E-01,1.08298466282249E-01,7.85345390821379E-02,6.8570633934072E-02,6.37501313980743E-01,6.1530872301661E-01
1E+00,9E+00,2E+00,3.17132223824387E-02,2.66689977304873E-03,3.84097644301694E-02,2.90647462333327E-02,2.11296506102268E-02,1.56496996568187E-02,9.48732063992819E-02,2.51547596288416E-01,1.16151863020787E-01,8.33161887198256E-02,6.98980968878771E-02,6.18986802641719E-01,6.39067941666203E-01
1E+00,1.2E+01,2E+00,3.37831149742626E-02,1.90562390625356E-03,3.95246156809389E-02,2.97349321005385E-02,2.13254454487533E-02,1.5347110200129E-02,9.24583423288395E-02,2.48896908743307E-01,1.1130132826823E-01,8.36430029442831E-02,6.72704283605092E-02,6.26700970992605E-01,6.38048814876966E-01
1E+00,1.5E+01,2E+00,3.49108323869154E-02,3.74728872874143E-03,4.07266361685761E-02,3.12411018472564E-02,2.21205243352448E-02,1.71726076681316E-02,9.64608209071408E-02,2.41042498332878E-01,1.14461857996526E-01,8.61653103213599E-02,7.37310317212284E-02,6.14055135904355E-01,6.42556532377085E-01
